0950B41C	California Agriculture
079EF4F6	Sykepleien Forskning
079FD8E4	Journal of Digital Forensic Practice
07A4C8CA	Ire Transactions on Aeronautical and Navigational Electronics
07AD5F4F	The Open Hydrology Journal
07B97FB7	Anaesthesist
07CAE520	Social Science Information Studies
07DE9D9D	Atmospheric and Oceanic Optics
07E2E64B	Journal of Travel & Tourism Marketing
07E77EDD	Tenside Surfactants Detergents
07EF8982	Journal of Cases on Information Technology
081954DB	Multimedia Manual of Cardiothoracic Surgery
08211E2F	Current Neurology and Neuroscience Reports
0824FC16	Cloning and Stem Cells
082A72CA	Journal of Property Investment & Finance
082F3903	Bioprocess and Biosystems Engineering
0850B0B8	International Journal of Sustainable Development and World Ecology
086AFD34	Journal of Institutional and Theoretical Economics-zeitschrift Fur Die Gesamte Staatswissenschaft
088E6630	European Foreign Affairs Review
08919D0E	Fiber and Integrated Optics
0893BA38	Behavioural and Cognitive Psychotherapy
089D3E54	Northeast African Studies
08B8452B	Geburtshilfe Und Frauenheilkunde
08B8BD75	Addiction Research & Theory
08C3043D	Advances in Quantum Chemistry
08D3FE26	Renewable Energy Focus
09068D54	Experimental and Therapeutic Medicine
09108007	Technology Review
091283AC	Radiation Research
0921187F	International Journal of Information Processing Systems
093D9EEF	BMC Urology
09490A1C	Engineering Management Journal
0949D28A	International Journal of Advanced Operations Management
0958AE47	Polymer Composites
09634060	Current Pain and Headache Reports
096CC982	Frontiers of Philosophy in China
09760719	Journal of Plant Diseases and Protection
0984F0BA	Briefings in Functional Genomics
0985FE85	Revista Geologica De Chile
098A1638	Pesticide Science
0999B281	Japanese Journal of Thrombosis and Hemostasis
09A021FD	The Open Psychology Journal
09A04C1D	Evidence-based Oncology
09A7CEF3	Annales Umcs, Informatica
09C40511	Recent Patents on Endocrine, Metabolic & Immune Drug Discovery
09CF3CA9	Australasian Journal of Special Education
09D0848D	Materials Science Research International
09D262E8	Journal of Food Technology
09D8E982	Annual Review of Materials Research
09D8F603	Aster
09E02E93	Pediatric Neurology
09EC8BB5	Sexual Addiction & Compulsivity
09F664BE	Autoimmune Diseases
09F72538	Kazoku Syakaigaku Kenkyu
0A0F634F	Plasma Devices and Operations
0A10AE19	Intercultural Education
0A1B4B04	Journal of Structural Control
0A1EAEEF	IEEE Transactions on Human Factors in Electronics
0A22B6D3	Current Opinion in Immunology
0A31C531	Letters in Applied Microbiology
0A42DB40	Immunotechnology
0A43B81C	ACM Sigdoc Asterisk Journal of Computer Documentation
0A472C64	Environmental Toxicology
0A76F3B1	International Review of Mission
0A78DD40	Annals of Solid and Structural Mechanics
0A911821	Theoretical and Applied Mechanics
0AA7AA9A	Current Chemical Biology
0AAB175A	American Journal of Animal and Veterinary Sciences
0AAEB84E	Cell Adhesion & Migration
0AB0F621	International Journal of Refractory Metals & Hard Materials
0AEA6E92	Ratio Juris
0AEFF5BC	Journal of The Franklin Institute-engineering and Applied Mathematics
0AF68B1F	Nber\/frontiers in Health Policy Research
0B03A8C6	Journal of Health Management
0B2CAF9C	Progress in Computational Fluid Dynamics
0B460E91	Journal of Molecular Liquids
0B481D4E	Coke and Chemistry
0B48735B	Reference Services Review
0B542E22	Town Planning and Architecture
0B5A0AEB	Geriatrics
0B66C8D8	International Journal of Plant Production
0B6E9D55	Networks
0B6F5BF5	Diagnostica
0B7A1F95	The Hague Journal of Diplomacy
0B7A50DF	Pediatric Anesthesia
0B84BF5D	Southwestern Naturalist
0B85CBEF	Immunomethods
0B8CAC68	Journal of Microcolumn Separations
0B901E64	Journal of The American Mosquito Control Association
0B9B6D84	Tribology Transactions
0BAE8B57	Qualitative Research in Sport and Exercise
0BD0432F	International Journal of Knowledge and Learning
0BD081D9	Journal of The Royal College of Physicians of London
0BD80D12	Acta Orthopaedica Scandinavica
0BE5108D	Australian Historical Studies
0BFBB413	Veterinary Clinics of North America-small Animal Practice
0C01AD87	Water International
0C1115B4	IEEE Transactions on Speech and Audio Processing
0C13DEAA	Geotechnical and Geological Engineering
0C1A7140	American Industrial Hygiene Association Journal
0C361BF3	Kathmandu University Journal of Science, Engineering and Technology
0C377E17	Geofizika
0C3FA903	Wireless Networks
0C431307	ACM Sigweb Newsletter
0C52D1BD	American Documentation
0C57627F	Cognitive Linguistics
37A88C6B	Brennstoff-warme-kraft
37FD4ACC	Zhizn' Natsional'nostei
384AED02	ACM Sigchi Bulletin - A Supplement To Interactions
3A090FB6	Inroads (ACM Sigcse Bulletin)
3ABFC396	Intégral: The Journal of Applied Musical Thought
3AF53EF6	Dve Domovini-two Homelands
3E413125	Clinica Veterinaria De Pequenos Animales
01D31951	Discover
0683D25A	Measurement Science and Technology
07A79E98	Current Biology
03F0FA5D	IEEE Spectrum
00DB658C	Journal of International Affairs
030EED1E	Nature Chemical Biology
09F126B2	Journal of Natural Products
0C16ABEE	Information Systems Research
09BF084E	Journal of Global Drug Policy and Practice
041B824B	Chemistry: A European Journal
0A00DB64	Latin American Policy
008282E5	Nature Reviews Genetics
089035E7	Administrative Science Quarterly
02492FF2	Journal of Business Logistics
093F74B3	Marine Resource Economics
0783A3B4	Biography
0145464F	European Journal of Organic Chemistry
082C0E1F	Education Policy Analysis Archives
0B94C3F5	Journal of Nanoparticle Research
08E39004	Journal of Economic Theory
0240FC03	American Journal of Education
047115A5	Measurement and Evaluation in Counseling and Development
0506EBF3	Thin Solid Films
08EEE0B7	Journal of Ethnic and Migration Studies
02D47269	Mindfulness
0B90E3DE	International Journal of Theoretical Physics
02B45345	The World Economy
0517F9EA	World Development
0028C70C	Journal of Oral and Maxillofacial Surgery
05AF05D5	Philosophia Africana
06D25777	Labor: Studies in Working-Class History of the Americas
02B91131	Academy of Management Learning and Education
087B6853	Computer Physics Communications
09DACBD7	Novel: A Forum on Fiction
06E165F3	Europe-Asia Studies
053B721A	Research in Autism Spectrum Disorders
03B8D80C	Journal of Health Psychology
0AFD6005	Linguistic Issues in Language Technology
06FEAF48	Journal of Biomedical Optics
08CEC15C	Women's Rights Law Reporter
00EECCC0	Journal of Experimental Zoology
02DDF07D	Oxford Development Studies
005E7ACC	Microscopy Research and Technique
0C20A1AA	Chemosphere
00C22EA2	Gifted Child Today
03FFEBCE	Cambridge Journal of Economics
024E63C6	Critique of Anthropology
024AAE63	Electronic Journal of Combinatorics
05EB1019	The Court Historian
073B38EC	Transportation Journal
0B2983C0	European Journal of Work and Organizational Psychology
3805D41F	Life and Letters
02AC3FDD	Debatte
04360C2B	Bosnian Journal of Basic Medical Sciences
064C48DD	European Archives of Psychiatry and Clinical Neuroscience
0673FD1E	Psychology in Russia
07F79B5F	Indiana Magazine of History
05588E53	Rapid Communications in Mass Spectrometry
0B0C2CD6	Applied Radiation and Isotopes
017F15A3	Concurrent Engineering
02534959	Fundamenta Informaticae
03E73D20	Archives of Computational Methods in Engineering
02BE814A	Journal of Economic Geography
3B569A48	Sycamore Review
3BE5308B	Revista Ideas y Valores
01F58C99	Combustion and Flame
0C64D004	Molecular Plant Pathology
3B84150A	Liverpool Classical Monthly
022C7DD7	Indian Journal of Dermatology, Venereology and Leprology
02087D93	Oxford Journal of Legal Studies
04184C37	Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture
02575423	Annales Academiae Scientiarum Fennicae. Mathematica
03E7B6C6	East Asia Law Review
0178EB41	Macromolecular Materials and Engineering
012BEB44	Children & Society
030B3457	Forest Pathology
048BED7F	Advances in Applied Clifford Algebras
0B459F4E	Ethnicities
0B6858A5	Endocrine Journal
039CC815	International Journal of High Performance Computing Applications
06B82786	Journal of Holistic Nursing
09D88093	Gamut: The Journal of the Music Theory Society of the Mid-Atlantic
3E3F2D1F	Journal of Zhejiang University
0ACF6CA1	Food and Bioprocess Technology
03D6F18A	Journal of Clinical Epidemiology
00E173A8	European Physical Education Review
0151CCF9	Entomologist's Gazette
01DC25A0	Human Rights Review
07235956	Israel Exploration Journal
07557E1A	International Sociology
07CBCDD0	Earth, Planets and Space
0ABEEA97	Cahiers de l'Institut de Linguistique de Louvain
02241887	EURASIP Journal on Advances in Signal Processing
05F7238A	Proceedings of the Institution of Mechanical Engineers, Part M: Journal of Engineering for the Maritime Environment
07B12629	Politique africaine
0874E9DD	Children, Youth and Environments
08BF71A2	IEEE Wireless Communications
09BD01D7	NANO
3A82BD88	National Law School of India Review
01443B19	Pacific Philosophical Quarterly
019ADC02	Proceedings of the Institution of Mechanical Engineers, Part I: Journal of Systems and Control Engineering
09CF5435	Transportation Law Journal
0AB9B9B5	Australian and New Zealand Journal of Psychiatry
3A59C591	Algebra i Logika
3BE82CD1	Quest: The History of Spaceflight
03C06569	Public Works Management & Policy
3A4FECB8	Mitteilungen der deutschen Patentanwälte
0AA82436	Indian Journal of Urology
06B373D8	Ceylon Journal of Science
000758DC	Journal of Craniofacial Genetics and Developmental Biology
001173FE	Aquichan
0014CFA4	Korean Journal of Horticultural Science & Technology
0017C756	Journal of Business Strategy
00199A21	Environmental Geosciences
00227BC2	Numerical Analysis and Applications
0024AD01	Tribology - Materials, Surfaces & Interfaces
00324F73	International Journal of Financial Services Management
00394FEA	International Orthopaedics
0046AF7C	Clinical Psychology Review
00650C5B	Acta Pharmaceutica
006CF611	Journal of Virological Methods
00A68B07	International Journal of Work Organisation and Emotion
00A8FDB8	Vector-borne and Zoonotic Diseases
00A90BEB	Appita Journal
00B02757	Polimery
00C0070E	Risk Management
00C265C1	International Journal for Vitamin and Nutrition Research
00D7589D	Iee Proceedings-generation Transmission and Distribution
00E6650A	Advances in Optical Technologies
00F6F017	Mutation Research\/dna Repair Reports
00FF1F90	Revista Matematica Iberoamericana
0102932F	Sensors and Actuators A-physical
0110EC93	Suiei Suichu Undo Kagaku
0114ABBB	China Journal
012DE0C3	Archives of Physiology and Biochemistry
013461B6	Rivista Di Storia E Letteratura Religiosa
01386EF7	Journal of European Competition Law & Practice
0139AF38	Journal of Policy Research in Tourism, Leisure and Events
013B0064	Ais Educator Journal
014A0164	Fuel Cells Bulletin
0162E17E	Journal of Property Research
0167BC21	Journal of Energy Engineering-asce
01682C07	Policing & Society
017487BD	The Journal of Continuing Higher Education
01749C1B	Pulmonary Pharmacology
01781D5A	European Geriatric Medicine
0180827F	Seminars in Veterinary Medicine and Surgery: Small Animal
0188C63D	Research in Sports Medicine
0197B2A2	Neurologia
01ADA393	Journal of Applied Mechanics and Technical Physics
01B498B7	International Journal of Health Geographics
01C8F2D9	European Journal of Plant Pathology
01D69A2D	Journal of Law Economics & Organization
01D97F76	Israel Journal of Zoology
01E47026	Industrial Marketing Management
01FD6DE0	Air & Space Europe
01FED969	Romanian Journal of Political Science
0203D768	Hungarian Medical Journal
020C96F4	Birth Defects Research Part C-embryo Today-reviews
021BDB49	Fire Science and Technology
021C0D9F	Disease Markers
022EB11A	Scripta Nova-revista Electronica De Geografia Y Ciencias Sociales
023A5389	Journal of Public Policy & Marketing
023F5F9D	Computer Languages, Systems & Structures
02486F8A	Polish Journal of Ecology
02514EF1	Information & Management
0258F7D8	IEEE Pulse
026D7500	Earth and Environmental Science Transactions of The Royal Society of Edinburgh
0278F699	Currents in Pharmacy Teaching and Learning
0279A519	European Journal of Electrical Engineering
028127F3	Civil War History
02892C7D	Taller De Letras
028B579B	Interdisciplinary Science Reviews
028C09ED	Applied Immunohistochemistry & Molecular Morphology
02915A5F	Immunochemistry
029282E8	Federal Reserve Bank of St Louis Review
029A243F	International Journal of Secure Software Engineering
02A50AC2	Historic Brass Society Journal
02B7F39F	International Journal of Vehicle Safety
02BE914E	Journal of Dentistry for Children
02D2F6D6	Mechatronics
02DB7EBD	Eating and Weight Disorders-studies on Anorexia Bulimia and Obesity
02F0BC84	Service Industries Journal
02F0BD91	Rivista Di Storia Della Filosofia
0303699A	Journal of Electrical Engineering & Technology
03074271	Museum International (edition Francaise)
03091CC0	Minerva Medica
030A6257	The Department Chair
030B9C05	Drug Metabolism Letters
03112502	Research Journal of Biological Sciences
031470A8	Okeanologiya
03172D6B	Materials Science and Engineering B-advanced Functional Solid-state Materials
031FAE67	Journal of Consulting Psychology
034F3F7C	Biological Therapies in Dentistry
0350B11D	Journal of Rational-emotive & Cognitive-behavior Therapy
035106E1	Asian Population Studies
0354329D	Japan Journal of Applied Mathematics
03561587	Grana
035C8DDF	Journal of Systematics and Evolution
03620B4A	Problems in General Surgery
03625B4E	Exceptionality
0367C05F	Journal of Burn Care & Research
0372B3FF	French Colonial History
0381867C	Romance Notes
0393D6AC	Journal of The Geological Society of India
03967FB9	Aging Health
03A3E6EC	Assistenza Infermieristica E Ricerca
03A3EF30	Nachrichten Aus Der Chemie
03AA082A	Services Marketing Quarterly
03AB4B6F	Inland Water Biology
03BC540C	Aevum-rassegna Di Scienze Storiche Linguistiche E Filologiche
03BD329E	Journal of Contemporary European Studies
03D6F64A	Zeitschrift Fur Germanistische Linguistik
03DA53B3	Current Opinion in Investigational Drugs
03F8E04D	Journal of Hiv\/aids Prevention in Children & Youth
03FE3523	International Journal of Applied Mechanics
04152F23	Renewable & Sustainable Energy Reviews
0417C9D5	Bautechnik
0436F076	Nonprofit Management and Leadership
043B119E	Applied Microbiology and Biotechnology
043E30BB	Minimally Invasive Neurosurgery
043F3AA5	Frontiers of Electrical and Electronic Engineering in China
0455914D	International Journal of Mechanical Sciences
0458B197	Plant Pathology Journal
047172C0	Du
04784F0E	Industrial & Engineering Chemistry Chemical & Engineering Data Series
048B78E7	Journal of Gastrointestinal Cancer
04900400	Journal of Environmental Radioactivity
0495C9C2	Pediatric Surgery International
049DBE66	Journal of Jewish Identities
049DDA53	Aob Plants
04A20CCA	Journal of Animal Physiology and Animal Nutrition
04A26B95	Farmacia
04A3328E	The European Journal of Endocrine Medicine
04B84EAA	Veterinary Dermatology
04C2C203	Transactions of The Indian Ceramic Society
04C663AB	Palynology
04C71074	Natural Gas & Electricity
04CDCDDE	Newborn and Infant Nursing Reviews
04D6F35B	Dendrobiology
04F22875	Marine Geophysical Researches
04F88276	Texto & Contexto Enfermagem
04FFF99F	Surgical Oncology Clinics of North America
050AC235	Advances in Nutritional Research
0517BFCC	Research Journal of Parasitology
051899D1	Design Automation for Embedded Systems
0518EF04	Estonian Journal of Archaeology
051CBD9B	Gaea - Journal of Geoscience
0522E3FD	Evaluation in Education. International Progress
0523E631	Neuropeptides
0528EBC1	Brittonia
0529D50D	Reproduktionsmedizin
0544DDFB	Journal of Korean Academy of Child Health Nursing
054826A7	Social Geography
05512B82	Anales De Medicina Interna
05594CE9	Journal of Kurdish Studies
056608F8	Agriculture and Environment
0568A927	Journal of Thoracic Oncology
056D12F7	National Identities
0578B9C5	Revista De Biologia Tropical
05834E45	Journal of Bangladesh Society of Physiologist
05A42077	Journal of Cognitive and Behavioral Psychotherapies
05AAA99B	Journal of The American Association of Gynecologic Laparoscopists
05B871EA	Food Economics - Acta Agriculturae Scandinavica, Section C
05B8D55F	IEEE Systems Journal
05C9FF7A	Animal Genetic Resources Information
05D766BE	Journal of Arts & Communities
05DCC319	Journal of Computer-assisted Microscopy
05E13EED	Asia Pacific Journal of Clinical Nutrition
05E8BD35	Dialectologia Et Geolinguistica
05ED92C8	Ricerche di Pedagogia e Didattica
05F4B8EE	Lyonia
05F5BC16	Journal of Consumer Policy
05F90323	Residential Treatment for Children & Youth
05FC3232	Acta Agriculturae Scandinavica Section B-soil and Plant Science
05FCA98B	International Social Science Journal
060B8A9B	Malaria Research and Treatment
060F33EF	Journal of Physics F: Metal Physics
0613926D	Statute Law Review
061E290B	International Journal of E-business Management
062B05D6	Communications of The ACM
063F34EB	The European Journal of Development Research
0640303E	Antimicrobics and Infectious Diseases Newsletter
06459EC5	Journal of Nucleic Acids
06460584	Acta Alimentaria
065F360E	Wind and Structures
065FC6DA	Letters in Drug Design & Discovery
06733123	Perioperative Medizin
06790985	Journal of Clinical Child and Adolescent Psychology
0687CFA7	Journal of Property Finance
0688720A	Journal of Maxillofacial Surgery
06898214	Comparative Education
06902822	Archives of Drug Information
0692787C	Current Analytical Chemistry
069A576A	Polish Journal of Environmental Studies
06A50C01	Journal of Structural Chemistry
06ADADE9	Ercim News
06CF8246	Coronary Health Care
06D9AF17	International Journal of Advances in Engineering Sciences and Applied Mathematics
06F3814A	Australian Journal of Public Health
06F8FFD5	Recent Patents on Drug Delivery & Formulation
0708AFAC	Heat Transfer Engineering
07105758	Neurocirugia
071BBA36	Juznoslovenski Filolog
072494CD	Revista Mvz Cordoba
072EB81C	Apoptosis
07349E4C	Statistical Methodology
073C6BAF	Progress in Growth Factor Research
0740BB20	Medicina Paliativa
07572301	Journal of Sleep Research
0757BFB2	The Korean Journal of Hematology
075E6C4E	Journal of Policy Reform
075FB7C8	Nutrition Research
0770D171	Cyta-journal of Food
07760158	The Journal of The Japanese Association for Chest Surgery
078702A6	Non-destructive Testing
07933127	Helminthologia
0796C723	Journal of Sports Science and Medicine
07C4ABFB	Gamm-mitteilungen
07C84B90	Journal of Coastal Research
07E4CE4F	Tijdschrift Voor Verpleeghuisgeneeskunde
07EBDD85	Optometry - Journal of The American Optometric Association
07F22A47	Boletin De La Real Academia Espanola
07F2ACDB	Dams and Reservoirs
07F35B11	Acta Periodica Technologica
080BBA56	Sociedade E Estado
080BC111	Econometric Reviews
080CED35	Zeitschrift Fur Kunstgeschichte
0832F1E7	Journal of Contemporary Psychotherapy
0849C264	Materials Transactions Jim
084CAC18	Legal Theory
086EA3BC	Asia-pacific Journal of Accounting & Economics
088EE7A7	Current Topics in Nutraceutical Research
089104CC	Journal of Experimental Education
0898B185	The Open Biology Journal
089BE90C	Geropsych: The Journal of Gerontopsychology and Geriatric Psychiatry
08A9A2E4	Transport Logistics
08AF43A5	Convivium
08B04EAD	Forktail
08B3DC81	Molecular Crystals and Liquid Crystals
08C150AE	Ndt & E International
08CE825B	International Journal of Computers Communications & Control
08E9B6E0	Narrative Inquiry
08EC8A92	Canadian Journal of Sociology-cahiers Canadiens De Sociologie
09000487	International Journal of Computer Applications
0900C2FE	Food and Drug Law Journal
090B9998	Subsurface Sensing Technologies and Applications
0913F692	Engineering Failure Analysis
091DF6A0	Targets
09397903	Genetic Engineering & Biotechnology News
09505774	Research in Economics
095E2E91	Asian Journal of Biological Sciences
09642188	Soil Technology
0965A89F	Workforce
0968BF41	Polymer Testing
098F187D	Nutrition Bulletin
09930490	Mental Retardation and Developmental Disabilities Research Reviews
099463FF	American Journal of Family Therapy
09A7200C	American Journal of Police
09B0D242	Health Marketing Quarterly
09C4EF8A	Joumal of Rock Mechanics and Geotechnical Engineering
09C51542	Russian Aeronautics (iz Vuz)
09C622B4	International Journal of Transitional Justice
09CB0E89	Journal of Social and Clinical Psychology
09EE6E9B	Materials and Manufacturing Processes
09F51883	Spektrum Der Augenheilkunde
09F66446	Acta Anaesthesiologica Taiwanica
09FE86B8	Experimental Agriculture
0A10E1F7	Neutron News
0A1C09F0	Geoarchaeology-an International Journal
0A320EB2	Fresenius Environmental Bulletin
0A35B00A	Clinical Immunology Newsletter
0A377887	Rare Metal Materials and Engineering
0A3AA2E3	Asia Pacific Journal of Tourism Research
0A3C919D	Discrete Applied Mathematics
0A3FAFC0	Journal of Law Medicine & Ethics
0A49790E	International Journal of Global Energy Issues
0A52FA48	Journal of Creativity in Mental Health
0A642A86	Clues: A Journal of Detection
0A645354	Hautarzt
0A7067E5	Journal of International Entrepreneurship
0A7D0A12	Nec Technical Journal
0A826948	European Journal of Cardiovascular Medicine
0A87FBC2	Hot Topics in Viral Hepatitis
0A91573D	Current Opinion in Endocrinology, Diabetes and Obesity
0AA399CB	Journal of Geotechnical and Geoenvironmental Engineering
0AA50E36	Journal of Bio-science
0ABA86C1	Knowledge Management for Development Journal
0AD32B89	Journal of Electrostatics
0AE3A6E0	American Journal of Orthodontics
0AE43905	Temida
0AF6D0CF	Canadian Mineralogist
0AFEC0DC	Classical Receptions Journal
0B037A22	IEEE Transactions on Industrial Informatics
0B067E43	Current Opinion in Otolaryngology & Head and Neck Surgery
0B0A0B16	Paleontologicheskii Zhurnal
0B0E312A	Italian Journal of Neurological Sciences
0B198EE4	Geotechnical Testing Journal
0B3A4F90	Veterinary and Human Toxicology
0B6D8948	Journal of Optoelectronics and Advanced Materials
0B7C26E7	Hereditas (beijing)
0B825826	Tempo
0B86D8E7	Journal of The American Association for Laboratory Animal Science
0B8B45A5	International Journal of Industrial Electronics and Drives
0B8C72FF	Cereal Research Communications
0B9234FA	Macromolecular Research
0B9DD42A	Philosophy of Music Education Review
0BA3FF50	Organizational Dynamics
0BA5C964	Energy Sources
0BAB8945	Sobornost
0BAE5627	International Journal of Career Management
0BBD320B	Journal of Field Archaeology
0BD8C3C8	International Heat Treatment & Surface Engineering
0BDDB298	Journal of Strategic Studies
0BE27432	International Journal of Bilingual Education and Bilingualism
0BE416FE	IEEE Transactions on Audio, Speech, and Language Processing
0BEE51CF	Annales Umcs, Agricultura
0BF7AB2E	American Journal of Physiology-renal Physiology
0BFCD8BE	The Open Cardiovascular and Thoracic Surgery Journal
0C07F96D	Numerische Mathematik
0C1AF29D	Comparative Hepatology
0C1C3274	Environmental Law & Management
0C29F364	Information Management & Computer Security
0C31622D	Future Virology
0C375778	Medical Oncology
0C3A7410	Journal of Physiological Anthropology and Applied Human Science
0C59B6F2	Nederlands Tijdschrift Voor Evidence Based Practice
0C64F64A	Transactions of The American Fisheries Society
37D6138A	Bulletin of Pharmaceutical Sciences
387020D8	Judaica Bohemiae
38B8FBCA	Zeitschrift Fur Bibliothekswesen Und Bibliographie
38C6C487	Antioch Review
39484636	Musik in Bayern
394CC719	Journal of Political & Military Sociology
3963CCEB	International Journal of Pediatric Hematology\/oncology
39822F06	Storia Dell Arte
39F0101A	Revista De La Facultad De Agronomia De La Universidad Del Zulia
3B530EC0	Neftyanoe Khozyaistvo
3C3609DF	Estudios Atacamenos
3C8E189F	Ruthenische Revue
3D0A5D53	Nukleonik
3D83D500	Arti Musices
3DBEC1E8	Dr Dobbs Journal
003B355D	Science
0C4ECA5C	The National Interest
3A55259A	The Madison / St. Clair Record
05F87108	Review of General Psychology
06055DAE	Organic Syntheses
05D78708	Journal of the National Cancer Institute
079E7DE4	Nature Methods
0AF41F65	Columbia Law Review
00B17318	Biomacromolecules
01D1B0B9	Teaching Ethics
096E5F90	Applied and Environmental Microbiology
03E71FB5	Systematic Biology
07831FF4	Cancer
0311D3B2	Teaching of Psychology
0B60D07D	Perspectives of New Music
04F860C6	Human Factors
0645C91D	Contemporary Psychoanalysis
0655038B	Cancer Letters
06D1B46A	American Journal of Mathematics
07514858	Journal of Management
062784C0	Communication Theory
08C84430	Revue Biblique
01CE1ABD	Alaska Law Review
0569E35B	Chemistry Letters
0348DEBD	British Journal of Pharmacology
0B5CB824	Journal of Manual & Manipulative Therapy
04DAEB5F	Molecular and Cellular Biology
04DF459E	Critical Quarterly
0B1514CC	Contemporary Economic Policy
0C1FA2FE	Clinical Journal of Oncology Nursing
0B88ED5C	Planta
0BE775CB	Middle East Policy
00CB97A4	International Journal of Cardiology
01C4AAED	Journal of Advanced Academics
03CDFA77	Stem Cell Reviews and Reports
0896E078	Schizophrenia Research
00C9A8A1	Beilstein Journal of Organic Chemistry
038F5758	Homology, Homotopy and Applications
03A0E348	Journal of East Asian Studies
06E58C35	Bulletin of the Council for Research in Music Education
3DA0F357	Dartmouth Undergraduate Journal of Science
3E45E2D2	Proceedings of the Institution of Mechanical Engineers
0AD282DB	European Heart Journal
01FE80FF	Journal of Animal Ecology
0087D21D	The Canadian Journal of Psychiatry
0868564C	Tissue Antigens
073839D3	Cancer Investigation
099E9150	Journal of Evidence-Based Complementary & Alternative Medicine
078A7297	African Journal of Criminology and Justice Studies
03ADB33E	Journal of Contemporary Criminal Justice
099C767A	Risk Analysis
0241FDA8	The American Journal of Surgical Pathology
0650DD83	Scripta Materialia
09AD57B8	IEEE Transactions on Electron Devices
0BC521A7	Journal of Tissue Engineering
0A450EA0	The Review of Austrian Economics
002FB988	Language Problems and Language Planning
05DA4186	Australasian Journal of Philosophy
0860A4CA	Cornell Hospitality Quarterly
068ED7C0	Climacteric
07A99B45	Toxicology
0AFE621B	Journal of Peptide Science
014D8DA2	Journal of Composite Materials
035D2C21	Journal of Porphyrins and Phthalocyanines
0A11309A	Journal of Solid State Chemistry
0A6FFB56	Development Southern Africa
3DEB80A3	Chveneburebi
0A539F21	British Journal of Sociology
06AB5CEE	Journal of Language and Social Psychology
07858A32	Origins of Life and Evolution of Biospheres
033F787F	Vox
05719500	Journal of Intelligent and Robotic Systems
07292F74	Surface Science Reports
01880258	International Journal of Clinical and Experimental Pathology
0303EB79	Journal of Injury and Violence Research
04322A36	Neue Zeitschrift für Systematische Theologie und Religionsphilosophie
0564D477	Victorian Review
06FAFFC8	Journal of Correctional Health Care
07716D41	Columbia Human Rights Law Review
04729FD5	Accounting, Auditing & Accountability Journal
07770C98	Molecular Reproduction and Development
381127DF	Marketing MBA
089ACE8A	The Information Society
00AE25E1	African Development Perspectives Yearbook
040EFA11	Allergy
01DD6A25	Trinity Journal
0778BC5C	Journal of Dental Biomechanics
090F7D61	Scandinavica
09BD45F8	Laser Physics Letters
0B7CB8F1	Knowledge Management Research & Practice
00E4D355	European Journal of Political Theory
019E4443	Merkur
01A71A8D	Journal of Machine Vision and Applications
0A8954DB	John Marshall Review of Intellectual Property Law
3A6F381B	Canadian Journal of Netherlandic Studies
0A6E83F4	Algebra Colloquium
3CC89F08	Natural Product Updates
01AF7C4B	Arabian Archaeology and Epigraphy
020A0742	European Physical Journal E
06448207	Visual Communication
07E48119	Development Policy Review
386B355B	Index to Foreign Legal Periodicals
0005E9DF	Archivos Argentinos De Pediatria
0006EF67	Business Communication Quarterly
00135775	Chinese Birds
001FD5BF	Botanical Bulletin
002F3F3F	Systematic Reviews in Pharmacy
00337427	Acta Applicandae Mathematicae
00348A96	Neotropical Biology and Conservation
0036D57B	Australian Journal of Agricultural and Resource Economics
004E9E38	Spatial Vision
004F40DA	Revista Paraense De Medicina
0068D092	The Open Geriatric Medicine Journal
007148C7	Public Choice
0075E5AE	Lingua E Stile
00850FE6	The Atlantic Monthly
008690AE	Southwestern Historical Quarterly
0096B985	Natural Areas Journal
00A3C0AD	Ieej Transactions on Electrical and Electronic Engineering
00B35270	Sri Lanka Journal of Bio-medical Informatics
00C8770E	Nepalese Journal of Engineering
00CEBEC7	Early American Studies: An Interdisciplinary Journal
00CEE063	Pattern Recognition and Image Analysis
00CF507D	Comparative Medicine
00D754A0	Journal for The Study of Food and Society
00D97356	Indiana Journal of Global Legal Studies
00DB9D59	Cardiovascular Journal of Africa
00DFE970	Journal of Culinary Science & Technology
00E55D63	International Journal of Agricultural Resources, Governance and Ecology
010961E7	Rassegna Della Letteratura Italiana
0119530B	International Journal of Electronic Commerce
011D5FEA	Logos: Journal of The World Book Community
0128A76E	Journal of Ceramic Processing Research
012929E5	Internet Mathematics
012AA8C5	Retina-the Journal of Retinal and Vitreous Diseases
01303D85	Journal of Porous Materials
01493AA2	Anzeiger Fur Schadlingskunde-journal of Pest Science
014A512A	Turbomachinery International
015FE0DC	Folia Neuropathologica
0163A3B2	International Studies in Catholic Education
016FC8A6	Natural Hazards Review
01756149	History of Education Quarterly
018948F2	Juristische Rundschau
018B1135	Functional Analysis and Other Mathematics
018CD973	International Journal of Microbiology
01934254	Mitteilungen Der Osterreichischen Geographischen Gesellschaft
01A1301F	International Journal of Infection Control
01B288CA	International Journal of Applied Logistics
02185C5C	Acta Historiae Artium
02299285	Journal of The Philosophy of History
024225E1	Breast Cancer
025F5968	Environmental Science & Policy
026AE639	Screening
026BC73A	ACM Sigbio Newsletter
0270B74A	Differential Equations and Nonlinear Mechanics
0287F65D	Reports on Mathematical Logic
0295BEA8	Mycotoxins
02A15265	Primary Care Psychiatry
